participant,condition,time,purity,RI,NMI
LA1,LA,5,0.274199352,0.779411423,0.19727499
LA1,LA,10,0.389888449,0.874464989,0.320926805
LA1,LA,15,0.406081324,0.872406114,0.307350376
LA1,LA,20,0.431450162,0.884823922,0.31170257
LA1,LA,25,0.416336812,0.873368757,0.30247303
LA1,LA,30,0.436847787,0.881829925,0.308871977
LA1,LA,35,0.423173804,0.877515452,0.319018776
LA1,LA,40,0.417776178,0.873527406,0.311564085
LA2,LA,5,0.360561353,0.842153577,0.311033857
LA2,LA,10,0.34256927,0.78092733,0.294296003
LA2,LA,15,0.36200072,0.753933247,0.294821318
LA2,LA,20,0.393666787,0.756325543,0.313803292
LA2,LA,25,0.404641958,0.818988049,0.313380715
LA2,LA,30,0.415617128,0.849305212,0.311239893
LA2,LA,35,0.421194674,0.864116352,0.31574671
LA2,LA,40,0.417596258,0.867471874,0.31268549
LA3,LA,5,0.405001799,0.85099233,0.31632919
LA3,LA,10,0.422094279,0.860388037,0.30810348
LA3,LA,15,0.42029507,0.849768596,0.300083246
LA3,LA,20,0.431270241,0.85718294,0.313525842
LA3,LA,25,0.425512774,0.861109857,0.320051133
LA3,LA,30,0.436847787,0.870174863,0.327647006
LA3,LA,35,0.435948183,0.87332181,0.327406786
LA3,LA,40,0.442425333,0.880266165,0.323590146
LA4,LA,5,0.224361281,0.713606697,0.147730485
LA4,LA,10,0.299028427,0.784359197,0.228899244
LA4,LA,15,0.374055416,0.851972974,0.293605442
LA4,LA,20,0.373875495,0.852111031,0.293394568
LA4,LA,25,0.387549478,0.847577169,0.302316319
LA4,LA,30,0.361281036,0.794099918,0.291366357
LA4,LA,35,0.349766103,0.80770416,0.284614949
LA4,LA,40,0.350125945,0.815295609,0.283412304
LA5,LA,5,0.365239295,0.79257106,0.283889824
LA5,LA,10,0.34490824,0.814738978,0.27898616
LA5,LA,15,0.344548399,0.832775612,0.255856392
LA5,LA,20,0.412378553,0.832789405,0.309756272
LA5,LA,25,0.406261245,0.809510427,0.322154321
LA5,LA,30,0.420654912,0.839291162,0.32820011
LA5,LA,35,0.439006837,0.852929401,0.349887773
LA5,LA,40,0.437207629,0.851821384,0.351179309
LA6,LA,5,0.213206189,0.693209366,0.135541605
LA6,LA,10,0.343828715,0.814331606,0.248484876
LA6,LA,15,0.357502699,0.831010853,0.29357151
LA6,LA,20,0.388269162,0.83514913,0.303855465
LA6,LA,25,0.359121986,0.839989476,0.283230873
LA6,LA,30,0.363979849,0.840353268,0.291764067
LA6,LA,35,0.352644836,0.811088887,0.287351924
LA6,LA,40,0.341129903,0.822024849,0.27412433
LA7,LA,5,0.367938107,0.855972287,0.282529965
LA7,LA,10,0.429471033,0.882439396,0.3352358
LA7,LA,15,0.418675783,0.87253517,0.309607396
LA7,LA,20,0.423173804,0.842230246,0.30970381
LA7,LA,25,0.473191796,0.877705766,0.341617063
LA7,LA,30,0.48488665,0.888409906,0.352275679
LA7,LA,35,0.482367758,0.883204408,0.359083945
LA7,LA,40,0.473911479,0.889119617,0.349899103
LA8,LA,5,0.368118028,0.852131558,0.285928554
LA8,LA,10,0.35138539,0.82577369,0.262701142
LA8,LA,15,0.330874415,0.835103931,0.256463642
LA8,LA,20,0.376754228,0.86713774,0.290738271
LA8,LA,25,0.379453041,0.869643486,0.292339286
LA8,LA,30,0.427491904,0.881658844,0.312097983
LA8,LA,35,0.401943145,0.87379154,0.300673255
LA8,LA,40,0.429830874,0.892696794,0.325389925
LA9,LA,5,0.325656711,0.750892368,0.250537805
LA9,LA,10,0.347786974,0.772645402,0.27439343
LA9,LA,15,0.382331774,0.775849528,0.290780311
LA9,LA,20,0.376214466,0.825481129,0.292383696
LA9,LA,25,0.37279597,0.844060019,0.300058573
LA9,LA,30,0.394746312,0.808282873,0.296264966
LA9,LA,35,0.393306945,0.817502512,0.296775328
LA9,LA,40,0.416696653,0.832103524,0.317369389
LA10,LA,5,0.188197193,0.51434863,0.054627036
LA10,LA,10,0.266102915,0.76182438,0.152810142
LA10,LA,15,0.389528607,0.862151501,0.271517933
LA10,LA,20,0.396905362,0.871996476,0.290098079
LA10,LA,25,0.444944225,0.887473942,0.333823275
LA10,LA,30,0.449262325,0.889457636,0.33574412
LA10,LA,35,0.449262325,0.889457636,0.33574412
LA10,LA,40,0.449262325,0.889457636,0.33574412
LR1,LR,5,0.214285714,0.674499477,0.126029405
LR1,LR,10,0.310543361,0.790649983,0.211935521
LR1,LR,15,0.364879453,0.828846299,0.283033142
LR1,LR,20,0.403202591,0.855093048,0.316390034
LR1,LR,25,0.388089241,0.831467244,0.314201655
LR1,LR,30,0.365419216,0.805113715,0.301456992
LR1,LR,35,0.385570349,0.794876456,0.305237932
LR1,LR,40,0.385390428,0.808316934,0.309731935
LR2,LR,5,0.211946743,0.701836242,0.09585047
LR2,LR,10,0.30604534,0.792175733,0.164965988
LR2,LR,15,0.333213386,0.790582185,0.194453593
LR2,LR,20,0.306944944,0.806475505,0.192401208
LR2,LR,25,0.333573228,0.83530616,0.217780805
LR2,LR,30,0.348326736,0.85623137,0.242885281
LR2,LR,35,0.335372436,0.820507971,0.244329184
LR2,LR,40,0.338611011,0.83208591,0.249814629
LR3,LR,5,0.223461677,0.630816822,0.109616406
LR3,LR,10,0.279237136,0.745272311,0.17234953
LR3,LR,15,0.396725441,0.848630468,0.254134261
LR3,LR,20,0.424973012,0.880148117,0.298953891
LR3,LR,25,0.447103275,0.882863021,0.311314982
LR3,LR,30,0.432889529,0.882769516,0.29563697
