seed,strategy,cycle,num_spans,max_docs,f1,mentions
8,joint-ent,16,20,1,0.5611451136872608,0.750767341927563
8,joint-ent,17,20,1,0.5706341486052358,0.763281986796605
8,joint-ent,18,20,1,0.5682656628365482,0.7678255745433118
8,joint-ent,19,20,1,0.572995417210568,0.7748722572888488
8,joint-ent,20,20,1,0.5695843355966442,0.7673071058249465
8,li-ent,1,20,1,0.21258404029189967,0.33348234242288777
8,li-ent,2,20,1,0.38706071075315585,0.5053929121725732
8,li-ent,3,20,1,0.41009574976132673,0.5316742081447965
8,li-ent,4,20,1,0.45686098249226076,0.5820689655172414
8,li-ent,5,20,1,0.4516517746654405,0.5771528998242531
8,li-ent,6,20,1,0.44647682243865344,0.5777310924369747
8,li-ent,7,20,1,0.44922657318854586,0.586685653257387
8,li-ent,8,20,1,0.4553445599191532,0.6186440677966101
8,li-ent,9,20,1,0.501492553422272,0.6511007338225484
8,li-ent,10,20,1,0.4783408595430975,0.6235714285714286
8,li-ent,11,20,1,0.5384221247724313,0.6930369401765283
8,li-ent,12,20,1,0.5204507585783918,0.6799999999999999
8,li-ent,13,20,1,0.5576586004125563,0.7246192893401016
8,li-ent,14,20,1,0.5694560062778778,0.7383444338725024
8,li-ent,15,20,1,0.5661545870068387,0.7443146896127842
8,li-ent,16,20,1,0.5743485324773804,0.7447447447447448
8,li-ent,17,20,1,0.5762446746242819,0.7484157160963245
8,li-ent,18,20,1,0.5927765191359841,0.7607361963190183
8,li-ent,19,20,1,0.5801068346474452,0.7610273590173087
8,li-ent,20,20,1,0.593960299822875,0.7559504919073311
8,ment-ent,1,20,1,0.44066218481453007,0.5789473684210527
8,ment-ent,2,20,1,0.4775499029410366,0.6382474837181763
8,ment-ent,3,20,1,0.48857407638350137,0.6406388642413486
8,ment-ent,4,20,1,0.48897505314607886,0.6525889499566099
8,ment-ent,5,20,1,0.5076740576275005,0.6730268863833477
8,ment-ent,6,20,1,0.4944058246804359,0.6701995012468829
8,ment-ent,7,20,1,0.48400920633464456,0.6733605271415124
8,ment-ent,8,20,1,0.5255599071772132,0.7129798903107861
8,ment-ent,9,20,1,0.5271131098717391,0.710388856645386
8,ment-ent,10,20,1,0.5134543526730672,0.7073100260040451
8,ment-ent,11,20,1,0.5239134251698284,0.7138554216867469
8,ment-ent,12,20,1,0.5310146857407846,0.7335811648079307
8,ment-ent,13,20,1,0.5231209646018202,0.7155963302752294
8,ment-ent,14,20,1,0.5306676218212798,0.7233038348082597
8,ment-ent,15,20,1,0.5397724276816294,0.7391436380200426
8,ment-ent,16,20,1,0.524205955322469,0.7384615384615384
8,ment-ent,17,20,1,0.5172542337194669,0.7348777348777349
8,ment-ent,18,20,1,0.5513550605191859,0.75
8,ment-ent,19,20,1,0.5278074574008479,0.7480689245395128
8,ment-ent,20,20,1,0.529608352277198,0.7558874210224009
8,noise,1,20,1,0.3363652475689434,0.45663574021782977
8,noise,2,20,1,0.29188339218061504,0.40480274442538594
8,noise,3,20,1,0.270813458322104,0.3853849499782514
8,noise,4,20,1,0.21261913871289417,0.311377245508982
8,noise,5,20,1,0.4575584425378017,0.5850426001893342
8,noise,6,20,1,0.4365934671645511,0.564373897707231
