seed,strategy,cycle,num_spans,max_docs,f1,mentions,entities,non-entities,pronouns,singletons
67,ment-ent,4,50,1,0.7079022106643826,0.819666617619238,118.0,82.0,36.0,84.0
67,ment-ent,5,50,1,0.7003502441409295,0.8187779809571852,148.0,102.0,37.0,112.0
67,ment-ent,6,50,1,0.7015293860795611,0.8275611821150667,177.0,123.0,38.0,139.0
67,ment-ent,7,50,1,0.7011478463274484,0.8244908979511303,194.0,156.0,38.0,155.0
67,ment-ent,8,50,1,0.6800299421130139,0.8305343511450382,211.0,189.0,38.0,171.0
67,ment-ent,9,50,1,0.7015847210329481,0.8365595528106016,234.0,216.0,38.0,191.0
67,ment-ent,10,50,1,0.6748801526432704,0.8305976128356309,257.0,243.0,38.0,214.0
67,ment-ent,11,50,1,0.6967503632928861,0.8356386725329467,285.0,265.0,38.0,240.0
67,ment-ent,12,50,1,0.686922119470749,0.8376998156709878,303.0,297.0,38.0,255.0
67,ment-ent,13,50,1,0.6858405828404841,0.8404187269644326,321.0,329.0,38.0,271.0
67,ment-ent,14,50,1,0.7030571025160318,0.8329574657785703,342.0,358.0,44.0,285.0
67,ment-ent,15,50,1,0.6934386297281435,0.8353069166073893,364.0,386.0,45.0,306.0
67,ment-ent,16,50,1,0.7054568669136425,0.8438542272268291,387.0,413.0,46.0,327.0
67,ment-ent,17,50,1,0.7147111481907168,0.8422033211826649,407.0,443.0,46.0,344.0
67,ment-ent,18,50,1,0.7217622980919765,0.8481974391831216,424.0,476.0,46.0,361.0
67,ment-ent,19,50,1,0.7218133495225351,0.8489485675114419,437.0,513.0,46.0,373.0
67,ment-ent,20,50,1,0.7186843995572585,0.8464734526373817,459.0,541.0,47.0,394.0
67,ment-ent,21,50,1,0.7203538725241555,0.8455365577667737,472.0,578.0,48.0,407.0
67,ment-ent,22,50,1,0.7095505684156175,0.847941532696349,497.0,603.0,50.0,431.0
67,ment-ent,23,50,1,0.6666740701269608,0.8393776936823294,515.0,635.0,51.0,447.0
67,ment-ent,24,50,1,0.6877811995583228,0.8524643287526962,542.0,658.0,51.0,471.0
67,ment-ent,25,50,1,0.6917343957595249,0.8505437004333251,555.0,695.0,51.0,484.0
67,ment-ent,26,50,1,0.7103826918570578,0.8510990526993469,574.0,726.0,54.0,503.0
67,ment-ent,27,50,1,0.7094241348196547,0.8508141713156433,594.0,756.0,55.0,523.0
67,ment-ent,28,50,1,0.7149337424889604,0.8581485677294061,613.0,787.0,56.0,539.0
67,ment-ent,29,50,1,0.6758834266173323,0.8550449632868575,640.0,810.0,56.0,565.0
67,ment-ent,30,50,1,0.7255616812917202,0.8558971722365037,671.0,829.0,56.0,596.0
67,noise,1,50,1,0.37156759024697944,0.4218153274865277,0.0,50.0,0.0,0.0
67,noise,2,50,1,0.5922607937684506,0.6624081763015012,3.0,97.0,0.0,2.0
67,noise,3,50,1,0.5770811648778724,0.6549108413458564,4.0,146.0,0.0,3.0
67,noise,4,50,1,0.5491152773042367,0.6238223159085359,6.0,194.0,0.0,5.0
67,noise,5,50,1,0.5224652072450876,0.5945831793463915,6.0,244.0,0.0,5.0
67,noise,6,50,1,0.5230649480018567,0.6065344802829954,8.0,292.0,1.0,6.0
67,random,1,50,1,0.4828343014596805,0.6028516985347263,29.0,21.0,15.0,14.0
67,random,2,50,1,0.5371371858587773,0.7597417206623471,52.0,48.0,22.0,28.0
67,random,3,50,1,0.6146242621636203,0.7734448062557041,84.0,66.0,31.0,45.0
67,random,4,50,1,0.64123552266259,0.8000349245847249,110.0,90.0,34.0,69.0
67,random,5,50,1,0.6377950035385388,0.8064275118296104,139.0,111.0,35.0,95.0
67,random,6,50,1,0.6648933629368622,0.8161202622741085,166.0,134.0,38.0,114.0
67,random,7,50,1,0.6255375773159048,0.8121749967768276,189.0,161.0,42.0,134.0
67,random,8,50,1,0.6379755479293667,0.8181654809349134,226.0,174.0,59.0,151.0
67,random,9,50,1,0.6276510768811222,0.8228474360335492,255.0,195.0,63.0,176.0
67,random,10,50,1,0.6055221858452212,0.8159820890381468,274.0,226.0,66.0,194.0
67,random,11,50,1,0.665950319050357,0.8251917811082545,303.0,247.0,70.0,220.0
67,random,12,50,1,0.6716583197549065,0.8266705301611285,331.0,269.0,86.0,235.0
67,random,13,50,1,0.6529603608258007,0.8254446916418006,361.0,289.0,98.0,254.0
67,random,14,50,1,0.6620936599772959,0.8153128844950029,388.0,312.0,99.0,274.0
67,random,15,50,1,0.6846698171302976,0.8300597067803145,411.0,339.0,103.0,294.0
67,random,16,50,1,0.6978977726953124,0.8285214811675584,431.0,369.0,107.0,311.0
67,random,17,50,1,0.6668090827106964,0.8304445801655329,463.0,387.0,111.0,339.0
67,random,18,50,1,0.5932939313339893,0.818137756475847,500.0,400.0,121.0,362.0
67,random,19,50,1,0.6956868797276878,0.8366679314552932,530.0,420.0,124.0,388.0
67,random,20,50,1,0.6888115406422317,0.8270125713323085,567.0,433.0,141.0,412.0
67,random,21,50,1,0.6946378130955512,0.8331131481067457,600.0,450.0,145.0,441.0
67,random,22,50,1,0.6949354458009503,0.8386745017265402,629.0,471.0,154.0,461.0
67,random,23,50,1,0.6965575346305753,0.838655479402936,662.0,488.0,154.0,488.0
