,Confidence,Effective Proportion,Average Accuracy,$\Delta$ Accuracy,Test Needed
157,0.95,$\rho=1.00$,50.0,9.6,40
158,0.95,$\rho=1.00$,80.0,3.839999999999999,153
159,0.95,$\rho=1.00$,50.0,9.700000000000001,40
160,0.95,$\rho=1.00$,80.0,3.8799999999999994,150
161,0.95,$\rho=1.00$,50.0,9.8,41
162,0.95,$\rho=1.00$,80.0,3.919999999999999,147
163,0.95,$\rho=1.00$,50.0,9.9,39
164,0.95,$\rho=1.00$,80.0,3.959999999999999,149
165,0.95,$\rho=1.00$,50.0,10.0,39
166,0.95,$\rho=1.00$,80.0,3.9999999999999996,147
167,0.95,$\rho=1.00$,50.0,10.100000000000001,38
168,0.95,$\rho=1.00$,80.0,4.039999999999999,143
169,0.95,$\rho=1.00$,50.0,10.200000000000001,37
170,0.95,$\rho=1.00$,80.0,4.079999999999999,148
171,0.95,$\rho=1.00$,50.0,10.3,37
172,0.95,$\rho=1.00$,80.0,4.119999999999999,134
173,0.95,$\rho=1.00$,50.0,10.4,37
174,0.95,$\rho=1.00$,80.0,4.159999999999999,136
175,0.95,$\rho=1.00$,50.0,10.5,34
176,0.95,$\rho=1.00$,80.0,4.199999999999999,135
177,0.95,$\rho=1.00$,50.0,10.6,35
178,0.95,$\rho=1.00$,80.0,4.239999999999999,131
179,0.95,$\rho=1.00$,50.0,10.7,35
180,0.95,$\rho=1.00$,80.0,4.279999999999999,129
181,0.95,$\rho=1.00$,50.0,10.8,31
182,0.95,$\rho=1.00$,80.0,4.3199999999999985,125
183,0.95,$\rho=1.00$,50.0,10.9,33
184,0.95,$\rho=1.00$,80.0,4.359999999999999,122
185,0.95,$\rho=1.00$,50.0,11.0,32
186,0.95,$\rho=1.00$,80.0,4.3999999999999995,123
187,0.95,$\rho=1.00$,50.0,11.1,32
188,0.95,$\rho=1.00$,80.0,4.439999999999999,122
189,0.95,$\rho=1.00$,50.0,11.200000000000001,30
190,0.95,$\rho=1.00$,80.0,4.4799999999999995,117
191,0.95,$\rho=1.00$,50.0,11.3,29
192,0.95,$\rho=1.00$,80.0,4.519999999999999,113
193,0.95,$\rho=1.00$,50.0,11.4,30
194,0.95,$\rho=1.00$,80.0,4.559999999999999,117
195,0.95,$\rho=1.00$,50.0,11.5,30
196,0.95,$\rho=1.00$,80.0,4.6,112
197,0.95,$\rho=1.00$,50.0,11.600000000000001,29
198,0.95,$\rho=1.00$,80.0,4.639999999999999,111
199,0.95,$\rho=1.00$,50.0,11.700000000000001,29
200,0.95,$\rho=1.00$,80.0,4.679999999999999,107
201,0.95,$\rho=1.00$,50.0,11.8,27
202,0.95,$\rho=1.00$,80.0,4.719999999999999,104
203,0.95,$\rho=1.00$,50.0,11.9,26
204,0.95,$\rho=1.00$,80.0,4.759999999999999,101
205,0.95,$\rho=1.00$,50.0,12.0,26
206,0.95,$\rho=1.00$,80.0,4.799999999999999,99
207,0.95,$\rho=1.00$,50.0,12.1,26
208,0.95,$\rho=1.00$,80.0,4.839999999999999,101
209,0.95,$\rho=1.00$,50.0,12.2,25
210,0.95,$\rho=1.00$,80.0,4.879999999999999,100
211,0.95,$\rho=1.00$,50.0,12.3,27
212,0.95,$\rho=1.00$,80.0,4.919999999999999,96
213,0.95,$\rho=1.00$,50.0,12.4,26
214,0.95,$\rho=1.00$,80.0,4.959999999999999,94
215,0.95,$\rho=1.00$,50.0,12.5,25
216,0.95,$\rho=1.00$,80.0,4.999999999999999,94
217,0.95,$\rho=1.00$,50.0,12.6,24
218,0.95,$\rho=1.00$,80.0,5.039999999999998,94
219,0.95,$\rho=1.00$,50.0,12.7,24
220,0.95,$\rho=1.00$,80.0,5.079999999999999,92
221,0.95,$\rho=1.00$,50.0,12.8,24
222,0.95,$\rho=1.00$,80.0,5.119999999999999,91
223,0.95,$\rho=1.00$,50.0,12.9,23
224,0.95,$\rho=1.00$,80.0,5.159999999999998,90
225,0.95,$\rho=1.00$,50.0,13.0,23
226,0.95,$\rho=1.00$,80.0,5.199999999999999,90
227,0.95,$\rho=1.00$,50.0,13.100000000000001,22
228,0.95,$\rho=1.00$,80.0,5.239999999999998,84
229,0.95,$\rho=1.00$,50.0,13.200000000000001,24
230,0.95,$\rho=1.00$,80.0,5.2799999999999985,85
231,0.95,$\rho=1.00$,50.0,13.3,23
232,0.95,$\rho=1.00$,80.0,5.319999999999999,82
233,0.95,$\rho=1.00$,50.0,13.4,22
234,0.95,$\rho=1.00$,80.0,5.3599999999999985,83
235,0.95,$\rho=1.00$,50.0,13.5,22
236,0.95,$\rho=1.00$,80.0,5.399999999999999,77
237,0.95,$\rho=1.00$,50.0,13.600000000000001,21
238,0.95,$\rho=1.00$,80.0,5.439999999999999,80
239,0.95,$\rho=1.00$,50.0,13.700000000000001,20
240,0.95,$\rho=1.00$,80.0,5.479999999999999,80
241,0.95,$\rho=1.00$,50.0,13.8,20
242,0.95,$\rho=1.00$,80.0,5.519999999999999,80
243,0.95,$\rho=1.00$,50.0,13.900000000000002,21
244,0.95,$\rho=1.00$,80.0,5.559999999999999,78
245,0.95,$\rho=1.00$,50.0,14.000000000000002,19
246,0.95,$\rho=1.00$,80.0,5.599999999999999,76
247,0.95,$\rho=1.00$,50.0,14.100000000000001,20
248,0.95,$\rho=1.00$,80.0,5.639999999999999,74
249,0.95,$\rho=1.00$,50.0,14.200000000000001,19
250,0.95,$\rho=1.00$,80.0,5.679999999999999,75
251,0.95,$\rho=1.00$,50.0,14.3,19
