,Confidence,Effective Proportion,Average Accuracy,$\Delta$ Accuracy,Test Needed
180,0.95,$\rho=1.00$,80.0,4.279999999999999,138
181,0.95,$\rho=1.00$,50.0,10.8,34
182,0.95,$\rho=1.00$,80.0,4.3199999999999985,126
183,0.95,$\rho=1.00$,50.0,10.9,32
184,0.95,$\rho=1.00$,80.0,4.359999999999999,121
185,0.95,$\rho=1.00$,50.0,11.0,31
186,0.95,$\rho=1.00$,80.0,4.3999999999999995,123
187,0.95,$\rho=1.00$,50.0,11.1,31
188,0.95,$\rho=1.00$,80.0,4.439999999999999,123
189,0.95,$\rho=1.00$,50.0,11.200000000000001,30
190,0.95,$\rho=1.00$,80.0,4.4799999999999995,121
191,0.95,$\rho=1.00$,50.0,11.3,30
192,0.95,$\rho=1.00$,80.0,4.519999999999999,114
193,0.95,$\rho=1.00$,50.0,11.4,30
194,0.95,$\rho=1.00$,80.0,4.559999999999999,115
195,0.95,$\rho=1.00$,50.0,11.5,29
196,0.95,$\rho=1.00$,80.0,4.6,117
197,0.95,$\rho=1.00$,50.0,11.600000000000001,28
198,0.95,$\rho=1.00$,80.0,4.639999999999999,109
199,0.95,$\rho=1.00$,50.0,11.700000000000001,27
200,0.95,$\rho=1.00$,80.0,4.679999999999999,111
201,0.95,$\rho=1.00$,50.0,11.8,28
202,0.95,$\rho=1.00$,80.0,4.719999999999999,104
203,0.95,$\rho=1.00$,50.0,11.9,27
204,0.95,$\rho=1.00$,80.0,4.759999999999999,111
205,0.95,$\rho=1.00$,50.0,12.0,28
206,0.95,$\rho=1.00$,80.0,4.799999999999999,105
207,0.95,$\rho=1.00$,50.0,12.1,25
208,0.95,$\rho=1.00$,80.0,4.839999999999999,98
209,0.95,$\rho=1.00$,50.0,12.2,27
210,0.95,$\rho=1.00$,80.0,4.879999999999999,98
211,0.95,$\rho=1.00$,50.0,12.3,26
212,0.95,$\rho=1.00$,80.0,4.919999999999999,99
213,0.95,$\rho=1.00$,50.0,12.4,25
214,0.95,$\rho=1.00$,80.0,4.959999999999999,93
215,0.95,$\rho=1.00$,50.0,12.5,25
216,0.95,$\rho=1.00$,80.0,4.999999999999999,96
217,0.95,$\rho=1.00$,50.0,12.6,25
218,0.95,$\rho=1.00$,80.0,5.039999999999998,92
219,0.95,$\rho=1.00$,50.0,12.7,24
220,0.95,$\rho=1.00$,80.0,5.079999999999999,92
221,0.95,$\rho=1.00$,50.0,12.8,23
222,0.95,$\rho=1.00$,80.0,5.119999999999999,89
223,0.95,$\rho=1.00$,50.0,12.9,23
224,0.95,$\rho=1.00$,80.0,5.159999999999998,88
225,0.95,$\rho=1.00$,50.0,13.0,23
226,0.95,$\rho=1.00$,80.0,5.199999999999999,89
227,0.95,$\rho=1.00$,50.0,13.100000000000001,23
228,0.95,$\rho=1.00$,80.0,5.239999999999998,88
229,0.95,$\rho=1.00$,50.0,13.200000000000001,22
230,0.95,$\rho=1.00$,80.0,5.2799999999999985,89
231,0.95,$\rho=1.00$,50.0,13.3,22
232,0.95,$\rho=1.00$,80.0,5.319999999999999,86
233,0.95,$\rho=1.00$,50.0,13.4,23
234,0.95,$\rho=1.00$,80.0,5.3599999999999985,84
235,0.95,$\rho=1.00$,50.0,13.5,22
236,0.95,$\rho=1.00$,80.0,5.399999999999999,81
237,0.95,$\rho=1.00$,50.0,13.600000000000001,21
238,0.95,$\rho=1.00$,80.0,5.439999999999999,80
239,0.95,$\rho=1.00$,50.0,13.700000000000001,21
240,0.95,$\rho=1.00$,80.0,5.479999999999999,78
241,0.95,$\rho=1.00$,50.0,13.8,22
242,0.95,$\rho=1.00$,80.0,5.519999999999999,76
243,0.95,$\rho=1.00$,50.0,13.900000000000002,20
